SN,Movie,Worldwide,India Net,India Gross,Overseas,Budget,Verdict
417,Kahaani 2,55.9,33.03,44.6,11.3,25,Average
418,Ladies vs Ricky Bahl,49.4,32.97,44.5,4.9,20,Average
419,Game Changer,186.28,32.93,156.03,30.25,1,Disaster
420,Uunchai,48.32,32.9,38.82,9.5,45,Hit
421,Munna Michael,48.28,32.88,45.68,2.6,41,Flop
422,Ghanchakkar,47,32.85,44.34,2.66,29,Below Average
423,Jai Gangaajal,49.6,32.77,44.24,5.36,33,Below Average
424,Rascals,49.1,32.6,44.01,5.09,45,Flop
425,Jolly LLB 3,49,32.5,39,10,1,None
426,Jolly LLB,46,32.43,43.78,2.22,12,Hit
427,NH10,43.9,32.18,43.44,0.46,15,Hit
